2020-06-19 13:49:17,700 - newuser - INFO - 创建新用户:犯得上发生发射点发生广泛大使馆大师傅给二测认错人 ; openid:testAccount
2020-06-19 14:13:02,289 - newuser - INFO - 创建新用户: ; openid:123
2020-06-19 14:13:02,654 - newuser - INFO - 创建新用户: ; openid:2321
2020-06-19 14:24:55,671 - newuser - INFO - 创建新用户:半世倾城い只为一人醉° ; openid:oAJIh5WZZa6sUiFBGYLoulAQSUxI
2020-06-19 14:42:02,493 - newuser - INFO - 创建新用户: ; openid:123
2020-06-19 17:49:42,538 - newuser - INFO - 创建新用户:半世倾城い只为一人醉° ; openid:oAJIh5WZZa6sUiFBGYLoulAQSUxI
2020-06-19 17:52:55,269 - newuser - INFO - 创建新用户:半世倾城い只为一人醉° ; openid:oAJIh5WZZa6sUiFBGYLoulAQSUxI
2020-06-19 17:58:03,134 - newuser - INFO - 创建新用户:半世倾城い只为一人醉° ; openid:oAJIh5WZZa6sUiFBGYLoulAQSUxI
2020-06-19 18:10:54,719 - newuser - INFO - 创建新用户:半世倾城い只为s一s人d醉 ; openid:1
2020-06-20 15:44:56,934 - newuser - INFO - 创建新用户:半世倾城い只为s一s人d醉 ; openid:1
2020-06-20 20:09:28,374 - newuser - INFO - 创建新用户:半世倾城い只为s一s人d醉 ; openid:2
